Report Written :   Thursday, July 12, 2018  22:31
Project Path   :   Z:\home\chris\git\aut\io-can-modul_pcb\io-can-modul.prj
Design Path    :   Z:\home\chris\git\aut\io-can-modul_pcb\io-can-modul.pcb
Design Title   :
Created        :   25.11.2015 10:02:45
Last Saved     :   12.07.2018 22:27:59
Editing Time   :   1897 min
Units          :   thou (precision 0)

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Description"
"U1","1","AT90CAN","","QFP","Atmel","AT90CAN32-16AU","715-3748","Mikrocontroller AT90CAN32-16AU, AVR 8 bit 2 KB RAM, 1 kB, 32 kB Flash, TQFP 64-pin 16MHz"
"C13","1","CAPOL_6.3","","DIL","Panasonic","ECA1VHG101","727-0688","NHG Alu Kondensator, Elko radial 100µF, ±20% / 35 V dc"
"C16","1","CAPOL_6.3","","DIL","Panasonic","ECA1VHG101","727-0688","NHG Alu Kondensator, Elko radial 100µF, ±20% / 35 V dc"
"SW1","1","Dip-Switch-4","","100th","KNITTER-SWITCH","DBS3104","712-2589","DIP-Schalter Schiebeschalter, 4-polig PCB-Montage, Kontakte vergoldet, 25 mA @ 24 V dc"
"L2","1","Ferrit_smd","","SM","Fair-Rite","2773019447","467-3494","Ferritperlen,SMD,40R"
"FS1","1","Fuse_900th","","DIL","RS-Components","563-756","563-756","Sicherungshalter 5x20mm Printmontage"
"LED2","1","LED_SM","","SM","OSRAM Opto Semiconductors","LG T770-K1M2-1","654-4972","TOPLED RG SMD LED-Modul Grün, 0,05 lm 2,5 V, PLCC 2 120° Linse Round, 2-pin"
"LED3","1","LED_SM","","SM","OSRAM Opto Semiconductors","LG T770-K1M2-1","654-4972","TOPLED RG SMD LED-Modul Grün, 0,05 lm 2,5 V, PLCC 2 120° Linse Round, 2-pin"
"LED4","1","LED_SM","","SM","OSRAM Opto Semiconductors","LG T770-K1M2-1","654-4972","TOPLED RG SMD LED-Modul Grün, 0,05 lm 2,5 V, PLCC 2 120° Linse Round, 2-pin"
"LED5","1","LED_SM","","SM","OSRAM Opto Semiconductors","LG T770-K1M2-1","654-4972","TOPLED RG SMD LED-Modul Grün, 0,05 lm 2,5 V, PLCC 2 120° Linse Round, 2-pin"
"LED6","1","LED_SM","","SM","OSRAM Opto Semiconductors","LG T770-K1M2-1","654-4972","TOPLED RG SMD LED-Modul Grün, 0,05 lm 2,5 V, PLCC 2 120° Linse Round, 2-pin"
"LED7","1","LED_SM","","SM","OSRAM Opto Semiconductors","LG T770-K1M2-1","654-4972","TOPLED RG SMD LED-Modul Grün, 0,05 lm 2,5 V, PLCC 2 120° Linse Round, 2-pin"
"LED8","1","LED_SM","","SM","OSRAM Opto Semiconductors","LG T770-K1M2-1","654-4972","TOPLED RG SMD LED-Modul Grün, 0,05 lm 2,5 V, PLCC 2 120° Linse Round, 2-pin"
